宇桐非	38216
赵一玮	38189
叶子	37973
吴彤	37849
兰陵王	37816
青鸟飞鱼	37714
李潇潇	37703
雷婷	37679
方力申	37482
王晶	37424
阎维文	37142
LilyAllen	37124
邓曼茹	36979
彭琳	36737
速度与激情	36567
扬墨	36526
文恩澄	36482
欧得洋	36373
黄晶	36318
小三前传	36224
任重	36221
卢凯彤	36084
Shelly佳	36030
RTA少年组	35993
FX	35829
雨宗林	35633
冯克东	35605
李魏西	35537
冯铭潮	35148
刘紫玲	34858
郭德纲	34746
犬夜叉	34719
陈庆聪	34674
石文	34615
莫熙儿	34432
Sum41	34429
薛啸秋	34249
郭凯伦	34191
老狼	33786
余威	33754
金贵晟	33706
Mc	33697
谢天笑	33686
袁攀	33343
阚立文	33329
涵佑莹	33224
周展宏	33182
轩辕剑	33160
李漠	33064
马健南	33028
陈星	32938
伍佰&ChinaBlue	32885
陈思成	32682
朴树	32631
楚博仁	32436
Jewel	32340
DJ梁羽翀	32301
EllieGoulding	32240
Titanic	32233
妖精的尾巴	32186
海阔天空	32166
Godsmack	32117
许冠杰	32088
高凌风	31973
毛阿敏	31891
GunsN'Roses	31861
余紫凤	31811
龙俊亨（Beast）	31790
南征北战	31748
童丽	31728
耿笑博	31688
赵权（2AM队长）	31525
银魂	31504
篮球火	31480
金润吉	31380
温博	31286
NorahJones	31115
乌兰图雅	31101
刘和刚	31089
泽野弘之	31080
苏三	30941
天国的嫁衣	30861
郑钧	30798
崔琰	30726
纪晓斌	30626
TiffanyAlvord	30620
刘钇彤	30547
死神	30429
Enya	30376
王帅	30365
陈俊豪	30220
郭玲	30212
8090	30204
黄伊汶	30086
林二汶	30071
穆婷婷	29938
张超	29842
李丽莎	29650
王祖蓝	29637
彭远扬	29423
梁雨恩	29382
朴宰范	29314
MichaelLearnsToRock	29273
Queen	29262
喜羊羊与灰太狼	29196
山下智久	29189
额尔古纳乐队	29172
蓝又时	29130
黄婉婷	29032
刘瑞琦	28907
毕书尽	28851
想你	28846
陈黎明	28793
AliciaKeys	28686
洛天依	28578
君臣	28489
FarEastMovement	28259
TheWanted	28254
蒙面哥	28093
家家（女）	28067
LauraBryna	28035
夏齐	27978
童可可	27767
曾檐	27699
是美男啊	27631
StevieHoang	27627
苏勒亚其其格	27572
天籁回音	27511
M4M	27475
与非门	27466
Sweety	27425
沈春阳	27357
牙牙乐	27347
陌小聪	27339
Bie	27334
TheCranberries	27272
Mc暴徒	27263
灌篮高手	27174
囚鸟	27075
易云飞	27066
谭晶	26967
陈晓东	26945
孟子焱	26934
蓝沁	26772
丽江小倩	26772
田力子	26691
易欣	26680
周云山	26594
任然	26576
HighSchoolMusical	26535
赵天翼	26532
徐小凤	26510
张启靓	26341
好妹妹乐队	26223
Nickelback	26199
LotteGirls	26131
ImagineDragons	26063
杜歌	26033
吕雯	25923
许美静	25909
颜亚涛	25684
波拉	25675
贺一航	25610
蒋蒋	25601
李闰珉	25585
蒋大为	25554
林希儿	25518
SE7EN	25275
林子祥	25270
纵贯线	25151
黄海波	25023
Ylvis	24999
陈坤	24904
黄勇深	24879
农夫	24863
邱泽	24857
邹文正	24840
TheEagles	24811
李治廷	24804
SecretGarden	24770
LeneMarlin	24743
宋捷	24737
可歆	24698
张艺兴	24552
张振宇	24479
李娜	24443
彝人制造	24421
车静子	24416
女子十二乐坊	24409
潘广益	24316
王磊	24309
吴佩珊	24287
BigBang	24227
许艺娜	24154
陈钰芸	24085
中国娃娃	23981
唯丞	23971
北京青年	23967
老猫（港台）	23939
黄圣依	23919
万轩严	23871
姚雷	23788
赵真	23762
张贤胜	23755
NichKhun（2PM）	23706
郭峰	23608
汪洋（男）	23583
贺军翔	23578
郑虹	23410
DaftPunk	23404
安明亮	23376
AFineFrenzy	23287
好声音群星	23264
江涛	23203
崔子格VS老猫	23186
凤飞飞	23180
石梅	23133
ThePrettyReckless	23056
ConnieTalbot	23020
李霄云	23010
Dido	22861
兄弟联	22756
BOX	22603
MelanieFiona	22546
月亮姐姐	22539
奥特曼	22477
徐一鸣	22476
费翔	22440
Super131	22395
强辩乐团	22385
关泽楠	22376
古惑仔系列	22371
姜大成	22165
阿清	22140
王晰	22089
FortMinor	22043
林海	22026
致美丽的你	21942
黄阅	21806
HITA	21753
艺声(SuperJunior)	21735
李创	21705
十二大美女	21679
大小姐	21656
幸福大街	21648
李毅杰	21545
Lorde	21521
许云上	21512
豪图	21491
梁心颐	21356
裘海正	21351
罗艺	21329
反光镜乐队	21215
Mc赵小磊	21165
伍天宇	21112
韩晶	21031
黄宗泽	21020
谭炜星	21008
July	20871
彭于晏	20803
VOCALOID	20801
张提	20707
孙洁	20569
高达系列	20510
龙飘飘	20492
ColbieCaillat	20447
SkylarGrey	20426
WorldOfWarcraft	20338
董文华	20326
宁婧	20273
LOLLIPOP@F	20272
佛教歌曲	20122
DreamHighOST	20097
黄勇	20012
郝红岩	19953
小村	19829
罗忆诗	19789
Muse	19788
DJ.4449	19777
王欣婷	19683
亦勋	19660
T.A.T.U.	19629
高永泰	19600
梁一贞	19461
戴爱玲	19429
刘俊麟	19413
丁酉酉	19354
暮光之城	19321
周慧敏	19234
樊波	19185
杭娇	19147
山人乐队	19074
未知	18946
城市猎人（韩国）	18830
王娅	18789
满文军	18776
谢丹	18776
刀剑神域	18749
朱晨辰	18712
王媛渊	18706
孙坚	18692
邓养天	18638
郭美美	18528
梦洛伊	18505
曲慧	18441
辉星	18359
真珠美人鱼	18344
还珠格格	18328
林翠萍	18289
侯旭	18275
周上允	18254
大哲	18238
冰淇	18228
青春美少女	18191
偶像活动	18189
PopuLady	18149
TheTingTings	18138
陈韵若	18092
叮当	18086
Alizee	18062
安瑞兮	18047
杜雯媞	18011
明道	18002
劲舞团	17979
谢帝	17823
中孝介	17812
光光	17779
何静	17727
方炯镔	17703
杨沛宜	17614
夏韶声	17553
明圣凯	17486
司徒兰芳	17452
乔军	17441
头文字D	17418
Lydia（泰国）	17377
梁耀燮	17367
Carpenters	17324
晨熙	17278
WithinTemptation	17215
薛晓枫	17205
张小觉	17183
苏志燮	17170
高安VS郭玲	17157
冯绍峰	17111
Mr.	17104
李金铭	17096
Cascada	17091
杨韵禾	17079
朱雅	17053
格格	16980
王二妮	16969
Sara（泰语）	16903
热血高校	16878
张心杰	16863
朱丹	16862
龙猫组合	16702
洛克王国	16701
邝祖德	16666
璀璨人生	16586
金丽旭	16494
摩天轮	16321
听见你的声音	16303
安泽泽	16297
徐仁国	16261
李雨儿	16234
玉泽演	16203
黑撒	16202
香奈儿	16186
白安	16170
Nirvana	16103
梁君诺	16089
付笛声	15804
小曾	15758
张姣皎	15754
灰原穷	15723
奥杰阿格	15715
TheWeepies	15693
徐千雅	15681
张灵敏	15620
赵月冬	15615
丁爽	15589
毅光年	15564
TheScript	15532
曹雪	15494
Aqua	15470
元若蓝	15451
金圣圭(Infinite)	15434
许阁	15433
可米小子	15395
尹熙水	15378
歪小九	15371
宝宝	15361
陈势安	15320
周小曼	15296
刘坤山	15236
游戏原声	15212
天台	15182
Inna	15009
Metallica	14994
PixieLott	14990
宋仲基	14950
姜潮	14947
蓝雨	14899
屋塔房王世子	14884
李凯年	14776
MC九苘	14738
明明（Dony）	14721
邓申燕	14721
洪启	14636
花粥	14615
FallOutBoy	14571
